Lab,Lab ID,Publications,Title,Author,Year,Cited By,Publisher
Biomedical Technologies,ZImFmCUAAAAJ,...
,,,Guidelines for the use and interpretation of assays for monitoring autophagy,Daniel J Klionsky and Kotb Abdelmohsen and Akihisa Abe and Md Joynal Abedin and Hagai Abeliovich and...,2016,8739,Taylor & Francis
,,,On robust Capon beamforming and diagonal loading,Jian Li and Petre Stoica and Zhisong Wang...,2003,1431,IEEE
,,,Particle filters for state estimation of jump Markov linear systems,Arnaud Doucet and Neil J Gordon and Vikram Krishnamurthy...,2001,969,IEEE
,,,Artificial muscle technology: physical principles and naval prospects,John DW Madden and Nathan A Vandesteeg and Patrick A Anquetil and Peter GA Madden and Arash Takshi a...,2004,938,IEEE
,,,A survey of signal processing algorithms in brain–computer interfaces based on electrical brain signals,Ali Bashashati and Mehrdad Fatourechi and Rabab K Ward and Gary E Birch...,2007,927,IOP Publishing
,,,QCADesigner: A rapid design and simulation tool for quantum-dot cellular automata,Konrad Walus and Timothy J Dysart and Graham A Jullien and R Arief Budiman...,2004,791,IEEE
Communication Systems,PhdzKFcAAAAJ,...
,,,"Pulmonary expression of interleukin-13 causes inflammation, mucus hypersecretion, subepithelial fibrosis, physiologic abnormalities, and eotaxin production",Zhou Zhu and Robert J Homer and Zhonde Wang and Qingsheng Chen and Gregory P Geba and Jingming Wang ...,1999,1829,American Society for Clinical Investigation
,,,Body area networks: A survey,Min Chen and Sergio Gonzalez and Athanasios Vasilakos and Huasong Cao and Victor CM Leung...,2011,1458,Springer US
,,,On robust Capon beamforming and diagonal loading,Jian Li and Petre Stoica and Zhisong Wang...,2003,1431,IEEE
,,,Reed-Solomon codes and their applications,Stephen B Wicker and Vijay K Bhargava...,1999,1148,John Wiley & Sons
,,,"Green cellular networks: A survey, some research issues and challenges",Ziaul Hasan and Hamidreza Boostanimehr and Vijay K Bhargava...,2011,1181,IEEE
,,,Particle filters for state estimation of jump Markov linear systems,Arnaud Doucet and Neil J Gordon and Vikram Krishnamurthy...,2001,969,IEEE
Computer and Software Systems,PhdzKFcAAAAJ,...
,,,"Pulmonary expression of interleukin-13 causes inflammation, mucus hypersecretion, subepithelial fibrosis, physiologic abnormalities, and eotaxin production",Zhou Zhu and Robert J Homer and Zhonde Wang and Qingsheng Chen and Gregory P Geba and Jingming Wang ...,1999,1829,American Society for Clinical Investigation
,,,Body area networks: A survey,Min Chen and Sergio Gonzalez and Athanasios Vasilakos and Huasong Cao and Victor CM Leung...,2011,1458,Springer US
,,,On robust Capon beamforming and diagonal loading,Jian Li and Petre Stoica and Zhisong Wang...,2003,1431,IEEE
,,,Reed-Solomon codes and their applications,Stephen B Wicker and Vijay K Bhargava...,1999,1148,John Wiley & Sons
,,,"Green cellular networks: A survey, some research issues and challenges",Ziaul Hasan and Hamidreza Boostanimehr and Vijay K Bhargava...,2011,1181,IEEE
,,,Particle filters for state estimation of jump Markov linear systems,Arnaud Doucet and Neil J Gordon and Vikram Krishnamurthy...,2001,969,IEEE
Emerging Micro/Nano Technologies,80_7AywAAAAJ,...
,,,Performance evaluation and design trade-offs for network-on-chip interconnect architectures,Partha Pratim Pande and Cristian Grecu and Michael Jones and Andre Ivanov and Resve Saleh...,2005,1012,IEEE
,,,Particle filters for state estimation of jump Markov linear systems,Arnaud Doucet and Neil J Gordon and Vikram Krishnamurthy...,2001,969,IEEE
,,,Artificial muscle technology: physical principles and naval prospects,John DW Madden and Nathan A Vandesteeg and Patrick A Anquetil and Peter GA Madden and Arash Takshi a...,2004,938,IEEE
,,,Conducting polymer actuator,,2001,878,
,,,QCADesigner: A rapid design and simulation tool for quantum-dot cellular automata,Konrad Walus and Timothy J Dysart and Graham A Jullien and R Arief Budiman...,2004,791,IEEE
,,,Polymer artificial muscles,Tissaphern Mirfakhrai and John DW Madden and Ray H Baughman...,2007,736,Elsevier
Energy Systems,7GzHsLIAAAAJ,...
,,,Autonomous demand-side management based on game-theoretic energy consumption scheduling for the future smart grid,Amir-Hamed Mohsenian-Rad and Vincent WS Wong and Juri Jatskevich and Robert Schober and Alberto Leon...,2010,2482,IEEE
,,,Accurate modelling of frequency-dependent transmission lines in electromagnetic transient simulations,José R Marti,1982,1132,IEEE
,,,Artificial muscle technology: physical principles and naval prospects,John DW Madden and Nathan A Vandesteeg and Patrick A Anquetil and Peter GA Madden and Arash Takshi a...,2004,938,IEEE
,,,Optimal real-time pricing algorithm based on utility maximization for smart grid,Pedram Samadi and Amir-Hamed Mohsenian-Rad and Robert Schober and Vincent WS Wong and Juri Jatskevic...,2010,895,IEEE
,,,Conducting polymer actuator,,2001,878,
,,,A modified adaptive hill climbing MPPT method for photovoltaic power systems,Weidong Xiao and William G Dunford...,2004,841,Ieee
